SystemLogID,SLTimeStamp,ModuleId,SeverityId,CompanyId,GroupId,ProcessId,ThreadId,DeviceId,UserId,Source,LogMessage
307232,2011-07-08 00:00:00.343000000,2,0,1,,,,,,nsImportWr,Process started with parameters: SQLServer=SYNCRONEXDB\sync, DB=nsdb27, SRC=F:\Syncronex_Incoming, BIN=F:\Progra~1\Syncronex\Singlecopy\bin\ImportExport, bAllowMultipleFiles=True, bProcessAllFiles=False, bArchive=True, bArchiveFolders=True, filename=jdcsx0100a*.fil
307233,2011-07-08 00:00:00.560000000,2,0,1,,,,,,nsImportWr,Archive folder for 07082011 does not exist.  Creating folder F:\Progra~1\Syncronex\Singlecopy\bin\ImportExport\arc\07082011 ...
307234,2011-07-08 00:00:00.763000000,2,1,1,,,,,,nsImportWr,No file(s) found at this time
307235,2011-07-08 00:00:00.857000000,2,1,1,,,,,,,Single Copy 2.7 - Manifest Import (PBS):  Job Started
307236,2011-07-08 00:00:00.950000000,2,0,1,,,,,,nsImportWr,Process completed successfully!
307237,2011-07-08 00:00:01,2,0,1,,,,,,nsImportWr,Process started with parameters: SQLServer=SYNCRONEXDB\sync, DB=nsdb27, SRC=F:\Syncronex_Incoming, BIN=F:\Progra~1\Syncronex\Singlecopy\bin\ImportExport, bAllowMultipleFiles=True, bProcessAllFiles=False, bArchive=True, bArchiveFolders=True, filename=jdcsx0100a*.fil
307238,2011-07-08 00:00:01.200000000,2,1,1,,,,,,nsImportWr,No file(s) found at this time
307239,2011-07-08 00:00:01.390000000,2,0,1,,,,,,nsImportWr,Process completed successfully!
307240,2011-07-08 00:00:01.577000000,2,1,1,,,,,,,Single Copy 2.7 - Manifest Import (PBS):  Job Completed Successfully
307241,2011-07-08 00:30:00.973000000,2,1,1,,,,,,,Single Copy 2.7 - Manifest Import (PBS):  Job Started
307242,2011-07-08 00:30:01.100000000,2,0,1,,,,,,nsImportWr,Process started with parameters: SQLServer=SYNCRONEXDB\sync, DB=nsdb27, SRC=F:\Syncronex_Incoming, BIN=F:\Progra~1\Syncronex\Singlecopy\bin\ImportExport, bAllowMultipleFiles=True, bProcessAllFiles=False, bArchive=True, bArchiveFolders=True, filename=jdcsx0100a*.fil
307243,2011-07-08 00:30:01.287000000,2,1,1,,,,,,nsImportWr,No file(s) found at this time
307244,2011-07-08 00:30:01.473000000,2,0,1,,,,,,nsImportWr,Process completed successfully!
307245,2011-07-08 00:30:01.693000000,2,1,1,,,,,,,Single Copy 2.7 - Manifest Import (PBS):  Job Completed Successfully
307246,2011-07-08 01:00:00.090000000,2,1,1,,,,,,,Single Copy 2.7 - Manifest Import (PBS):  Job Started
307247,2011-07-08 01:00:00.243000000,2,0,1,,,,,,nsImportWr,Process started with parameters: SQLServer=SYNCRONEXDB\sync, DB=nsdb27, SRC=F:\Syncronex_Incoming, BIN=F:\Progra~1\Syncronex\Singlecopy\bin\ImportExport, bAllowMultipleFiles=True, bProcessAllFiles=False, bArchive=True, bArchiveFolders=True, filename=jdcsx0100a*.fil
307248,2011-07-08 01:00:00.450000000,2,1,1,,,,,,nsImportWr,No file(s) found at this time
307249,2011-07-08 01:00:00.683000000,2,0,1,,,,,,nsImportWr,Process completed successfully!
307250,2011-07-08 01:00:00.933000000,2,1,1,,,,,,,Single Copy 2.7 - Manifest Import (PBS):  Job Completed Successfully
307251,2011-07-08 01:30:00.203000000,2,1,1,,,,,,,Single Copy 2.7 - Manifest Import (PBS):  Job Started
